Term,ProsperRating (Alpha),LoanOriginalAmount,Investors,LoanCreatingYear
36,B,5500,86,2011
36,B,4300,61,2011
60,B,10000,13,2011
36,B,3500,41,2011
36,B,13000,196,2011
36,B,3500,73,2011
36,B,7000,6,2011
36,B,6000,4,2011
36,B,10000,181,2011
36,B,5000,41,2011
36,B,15000,7,2011
36,B,2000,10,2011
36,B,2000,36,2011
36,B,11000,175,2011
36,B,2000,22,2011
36,B,3500,11,2011
36,B,2000,39,2011
12,B,2784,35,2011
36,B,5000,23,2011
60,B,10000,175,2011
36,B,6000,52,2011
36,B,3000,40,2011
36,B,12000,147,2011
36,B,8000,129,2011
36,B,8500,19,2011
60,B,9000,33,2011
36,B,3500,14,2011
36,B,6000,121,2011
36,B,8000,5,2011
60,B,15000,25,2011
36,B,5000,61,2011
36,B,15000,15,2011
36,B,4500,63,2011
36,B,12000,186,2011
36,B,7500,132,2011
12,B,2000,17,2011
36,B,3000,59,2011
36,B,6700,106,2011
36,B,6000,83,2011
36,B,12000,57,2011
36,B,8000,16,2011
60,B,15000,283,2011
36,B,4000,65,2011
36,B,2500,48,2011
60,B,10000,49,2011
12,B,2785,38,2011
36,B,3000,48,2011
36,B,15000,12,2011
36,B,13000,231,2011
36,B,8000,99,2011
36,B,15000,173,2011
36,B,10000,151,2011
36,B,15000,42,2011
36,B,15000,7,2011
36,B,2500,55,2011
60,B,10000,213,2011
36,B,4000,77,2011
36,B,15000,200,2011
36,B,7000,94,2011
36,B,4500,62,2011
36,B,11000,13,2011
36,B,4000,39,2011
36,B,11500,286,2011
36,B,15000,249,2011
36,B,8500,122,2011
36,B,4500,82,2011
36,B,6500,114,2011
36,B,3000,46,2011
36,B,5500,32,2011
36,B,10000,17,2011
36,B,7500,64,2011
36,B,7500,33,2011
36,B,8500,31,2011
60,B,7000,5,2011
36,B,2500,42,2011
36,B,13000,65,2011
36,B,2000,42,2011
36,B,9000,16,2011
36,B,9000,147,2011
36,B,6000,73,2011
60,B,10000,258,2011
60,B,7000,7,2011
12,B,2770,54,2011
36,B,5000,60,2011
36,B,2000,23,2011
36,B,4500,69,2011
36,B,12000,107,2011
36,B,15000,2,2011
36,B,5000,5,2011
36,B,6500,32,2011
36,B,2000,15,2011
36,B,15000,199,2011
36,B,7000,11,2011
36,B,2000,11,2011
36,B,13000,15,2011
36,B,2900,13,2011
36,B,4000,53,2011
12,B,3000,32,2011
60,B,15000,276,2011
36,B,12000,154,2011
36,B,5000,57,2011
36,B,5500,69,2011
12,B,2000,24,2011
36,B,3500,35,2011
36,B,5000,77,2011
36,B,4600,2,2011
36,B,7000,41,2011
36,B,13000,124,2011
36,B,3500,13,2011
36,B,4000,28,2011
36,B,7500,21,2011
36,B,5000,82,2011
36,B,5000,15,2011
36,B,8300,153,2011
36,B,11000,32,2011
36,B,8500,45,2011
36,B,6000,47,2011
36,B,15000,289,2011
36,B,9000,57,2011
36,B,2000,46,2011
36,B,3500,37,2011
60,B,5000,76,2011
36,B,9000,174,2011
36,B,4000,38,2011
36,B,10000,6,2011
36,B,2000,43,2011
36,B,8500,138,2011
12,B,2000,43,2011
36,B,5000,59,2011
36,B,15000,316,2011
36,B,2000,24,2011
36,B,5000,90,2011
36,B,9000,166,2011
36,B,5000,20,2011
36,B,8000,32,2011
60,B,11000,88,2011
60,B,8000,116,2011
36,B,5000,70,2011
12,B,3000,20,2011
36,B,8000,142,2011
36,B,4000,75,2011
36,B,10000,8,2011
36,B,6000,114,2011
36,B,12500,22,2011
36,B,4000,13,2011
36,B,3000,8,2011
36,B,15000,66,2011
36,B,15000,203,2011
36,B,13000,26,2011
36,B,5000,11,2011
36,B,13000,28,2011
36,B,4500,61,2011
36,B,5000,78,2011
36,B,5000,17,2011
60,B,15000,254,2011
36,B,5000,42,2011
60,B,7000,126,2011
36,B,12000,216,2011
36,B,11000,89,2011
36,B,3100,22,2011
36,B,15000,5,2011
36,B,7500,153,2011
36,B,11000,15,2011
36,B,5000,40,2011
36,B,6000,108,2011
60,B,15000,319,2011
60,B,10000,205,2011
36,B,10000,184,2011
36,B,5000,9,2011
36,B,10000,59,2011
60,B,15000,5,2011
36,B,2000,15,2011
12,B,3000,9,2011
36,B,15000,295,2011
60,B,10000,2,2011
36,B,15000,115,2011
60,B,13000,195,2011
36,B,10000,180,2011
36,B,3000,39,2011
36,B,13000,33,2011
36,B,2000,43,2011
36,B,11000,124,2011
36,B,5000,97,2011
36,B,15000,17,2011
36,B,3000,62,2011
36,B,3500,57,2011
60,B,10000,163,2011
36,B,13500,209,2011
36,B,15000,11,2011
36,B,15000,4,2011
36,B,2000,41,2011
12,B,2000,38,2011
36,B,7500,74,2011
36,B,10000,34,2011
36,B,15000,189,2011
36,B,15000,38,2011
36,B,15000,347,2011
36,B,2000,5,2011
36,B,3000,34,2011
36,B,5000,90,2011
36,B,8500,161,2011
36,B,15000,12,2011
60,B,15000,261,2011
36,B,14500,181,2011
60,B,12500,110,2011
36,B,2500,19,2011
36,B,5000,103,2011
36,B,9000,184,2011
12,B,2500,51,2011
36,B,10000,37,2011
36,B,14000,5,2011
36,B,4500,7,2011
36,B,5000,8,2011
36,B,4440,94,2011
36,B,7000,93,2011
36,B,5000,103,2011
36,B,4000,63,2011
36,B,12500,202,2011
36,B,15000,76,2011
60,B,15000,308,2011
60,B,13000,237,2011
36,B,9000,36,2011
36,B,15000,36,2011
36,B,15000,268,2011
36,B,6000,75,2011
36,B,11000,46,2011
36,B,5000,23,2011
36,B,6000,108,2011
36,B,5700,110,2011
36,B,7000,11,2011
36,B,5000,42,2011
36,B,8000,106,2011
36,B,7000,5,2011
60,B,8500,8,2011
36,B,7000,84,2011
36,B,2000,26,2011
12,B,2785,10,2011
60,B,10000,167,2011
36,B,15000,7,2011
36,B,12000,36,2011
60,B,15000,171,2011
36,B,8000,17,2011
36,B,5000,2,2011
60,B,15000,162,2011
36,B,2000,22,2011
36,B,6500,27,2011
36,B,10722,18,2011
36,B,3000,6,2011
60,B,15000,8,2011
36,B,8000,171,2011
36,B,4000,75,2011
36,B,15000,229,2011
36,B,5000,97,2011
60,B,4400,23,2011
36,B,7800,46,2011
60,B,15000,168,2011
36,B,4000,67,2011
36,B,6100,104,2011
36,B,15000,41,2011
36,B,15000,179,2011
60,B,15000,61,2011
36,B,7000,102,2011
36,B,2000,28,2011
36,B,2000,26,2011
36,B,9800,138,2011
36,B,6000,53,2011
36,B,2900,30,2011
36,B,8000,111,2011
36,B,8000,166,2011
36,B,6000,14,2011
36,B,15000,10,2011
36,B,7000,66,2011
60,B,15000,22,2011
36,B,4000,39,2011
36,B,15000,33,2011
36,B,14000,38,2011
36,B,5000,19,2011
36,B,6065,84,2011
36,B,4000,19,2011
36,B,15000,248,2011
36,B,2000,3,2011
36,B,5000,95,2011
60,B,15000,14,2011
36,B,6000,87,2011
36,B,10000,186,2011
36,B,3500,64,2011
36,B,3000,24,2011
36,B,8000,33,2011
60,B,15000,43,2011
60,B,15000,227,2011
12,B,2000,28,2011
12,B,5000,18,2011
36,B,3000,59,2011
36,B,9600,39,2011
36,B,13000,17,2011
60,B,15000,23,2011
60,B,13000,202,2011
36,B,10000,168,2011
36,B,2500,27,2011
36,B,12000,201,2011
12,B,2000,38,2011
36,B,8500,5,2011
36,B,4400,98,2011
36,B,5000,54,2011
60,B,15000,299,2011
36,B,3000,44,2011
36,B,4800,52,2011
36,B,7500,19,2011
36,B,7000,78,2011
36,B,4000,37,2011
36,B,6000,17,2011
36,B,12000,8,2011
36,B,13000,76,2011
60,B,13500,23,2011
36,B,15000,296,2011
36,B,3000,37,2011
36,B,5000,22,2011
36,B,5000,17,2011
36,B,8500,1,2011
60,B,9500,72,2011
12,B,2000,34,2011
36,B,15000,307,2011
36,B,9500,127,2011
36,B,5000,17,2011
36,B,15000,12,2011
36,B,6000,110,2011
36,B,2000,14,2011
36,B,7000,124,2011
36,B,10000,69,2011
60,B,12000,158,2011
60,B,10000,16,2011
36,B,6000,65,2011
36,B,15000,7,2011
12,B,2000,30,2011
36,B,5729,8,2011
12,B,2770,26,2011
60,B,8500,96,2011
36,B,4000,65,2011
36,B,12000,54,2011
36,B,4000,49,2011
36,B,2000,53,2011
36,B,15000,266,2011
36,B,4500,15,2011
36,B,5000,86,2011
36,B,5000,47,2011
36,B,9000,112,2011
36,B,5000,83,2011
36,B,7500,110,2011
12,B,3000,9,2011
36,B,15000,2,2011
36,B,15000,100,2011
36,B,4000,75,2011
36,B,2500,43,2011
36,B,15000,112,2011
36,B,7000,5,2011
12,B,3600,19,2011
36,B,2200,27,2011
36,B,2000,52,2011
36,B,9500,18,2011
36,B,2500,27,2011
36,B,14500,242,2011
36,B,6500,59,2011
36,B,12000,31,2011
60,B,15000,13,2011
36,B,11000,8,2011
36,B,6000,11,2011
36,B,15000,63,2011
36,B,3000,39,2011
36,B,15000,182,2011
36,B,15000,38,2011
60,B,15000,245,2011
36,B,12000,53,2011
36,B,7500,84,2011
36,B,9500,2,2011
36,B,11500,54,2011
36,B,3500,43,2011
36,B,7000,94,2011
36,B,15000,11,2011
36,B,11000,54,2011
36,B,8000,34,2011
36,B,4500,102,2011
36,B,8880,73,2011
36,B,10000,8,2011
36,B,5000,59,2011
36,B,4000,70,2011
36,B,8000,152,2011
36,B,15000,5,2011
36,B,4500,58,2011
36,B,2600,46,2011
36,B,7000,103,2011
36,B,10896,9,2011
36,B,2000,15,2011
36,B,15000,12,2011
36,B,6000,111,2011
36,B,2000,30,2011
36,B,4000,66,2011
36,B,5500,5,2011
60,B,15000,235,2011
36,B,10000,16,2011
36,B,4000,87,2011
36,B,15000,18,2011
60,B,10000,35,2011
36,B,12500,59,2011
36,B,8500,55,2011
36,B,6000,26,2011
36,B,3200,44,2011
36,B,12500,174,2011
36,B,8000,20,2011
36,B,13000,212,2011
36,B,5000,3,2011
36,B,10000,13,2011
36,B,8000,162,2011
36,B,6000,9,2011
36,B,6600,112,2011
60,B,10000,46,2011
36,B,3000,55,2011
36,B,11000,50,2011
60,B,9000,135,2011
36,B,11500,58,2011
36,B,12000,197,2011
60,B,12500,176,2011
12,B,4000,57,2011
12,B,7500,19,2011
60,B,15000,199,2011
36,B,10000,46,2011
36,B,15000,1,2011
36,B,5500,62,2011
36,B,5750,16,2011
60,B,13000,144,2011
60,B,10000,120,2011
36,B,5000,6,2011
36,B,11900,190,2011
60,B,15000,209,2011
36,B,3500,13,2011
36,B,10000,124,2011
12,C,2000,53,2011
36,C,13000,236,2011
36,C,5000,49,2011
36,C,2000,14,2011
12,C,3000,29,2011
36,C,6000,110,2011
36,C,2600,34,2011
36,C,2500,46,2011
36,C,12000,121,2011
60,C,15000,239,2011
36,C,5000,46,2011
36,C,15000,279,2011
36,C,12000,102,2011
36,C,3000,9,2011
36,C,2500,43,2011
36,C,4500,73,2011
36,C,2500,8,2011
60,C,15000,286,2011
36,C,15000,323,2011
36,C,9000,172,2011
36,C,3200,27,2011
36,C,4000,54,2011
36,C,2000,12,2011
36,C,12000,92,2011
60,C,15000,154,2011
36,C,15000,129,2011
36,C,9500,149,2011
36,C,13000,225,2011
36,C,3500,9,2011
36,C,11000,187,2011
36,C,15000,196,2011
36,C,5000,28,2011
36,C,8000,158,2011
36,C,3000,57,2011
12,C,2000,45,2011
12,C,3000,14,2011
36,C,7500,113,2011
36,C,15000,196,2011
60,C,8500,74,2011
36,C,3500,69,2011
36,C,2000,10,2011
36,C,15000,28,2011
36,C,6000,34,2011
36,C,9500,66,2011
36,C,2900,4,2011
36,C,15000,202,2011
36,C,7200,125,2011
36,C,2000,37,2011
60,C,15000,262,2011
36,C,4000,89,2011
36,C,4000,54,2011
36,C,5000,81,2011
36,C,2000,43,2011
60,C,15000,253,2011
36,C,15000,111,2011
36,C,2000,8,2011
12,C,2000,26,2011
36,C,15000,93,2011
36,C,5500,78,2011
36,C,15000,22,2011
36,C,9000,90,2011
36,C,2000,37,2011
36,C,5000,4,2011
60,C,10000,110,2011
60,C,10000,25,2011
36,C,3000,13,2011
36,C,2000,29,2011
36,C,2000,20,2011
36,C,10000,135,2011
36,C,10000,124,2011
36,C,15000,50,2011
36,C,15000,145,2011
36,C,10000,45,2011
60,C,7500,79,2011
36,C,2500,50,2011
36,C,13000,13,2011
36,C,3000,44,2011
60,C,13000,5,2011
60,C,10000,198,2011
36,C,15000,67,2011
36,C,2000,31,2011
36,C,9500,13,2011
36,C,6800,102,2011
36,C,13000,237,2011
36,C,11500,171,2011
12,C,2000,26,2011
36,C,2600,35,2011
36,C,4000,49,2011
60,C,10000,73,2011
36,C,10000,100,2011
36,C,6000,84,2011
36,C,13000,78,2011
36,C,15000,160,2011
36,C,7000,96,2011
36,C,9500,180,2011
36,C,5000,38,2011
36,C,7500,80,2011
36,C,15000,237,2011
36,C,3000,54,2011
36,C,7000,23,2011
36,C,7000,122,2011
36,C,2700,47,2011
36,C,2000,11,2011
36,C,6000,105,2011
12,C,2000,12,2011
60,C,10000,132,2011
60,C,10000,99,2011
36,C,10000,27,2011
36,C,2500,31,2011
36,C,4000,67,2011
36,C,4900,96,2011
36,C,15000,350,2011
12,C,2000,20,2011
60,C,13000,279,2011
60,C,6500,16,2011
60,C,15000,290,2011
12,C,2500,45,2011
36,C,5000,47,2011
36,C,2000,11,2011
60,C,11000,185,2011
60,C,10000,143,2011
36,C,15000,52,2011
36,C,7500,92,2011
36,C,10000,111,2011
36,C,3000,9,2011
36,C,10000,162,2011
36,C,7500,37,2011
36,C,7000,70,2011
60,C,14000,147,2011
36,C,2400,4,2011
36,C,6000,97,2011
36,C,7000,105,2011
36,C,15000,280,2011
36,C,15000,307,2011
36,C,8000,59,2011
36,C,11000,175,2011
36,C,2000,40,2011
36,C,3200,27,2011
36,C,15000,321,2011
36,C,6000,92,2011
36,C,11000,58,2011
36,C,15000,79,2011
36,C,15000,112,2011
60,C,15000,152,2011
36,C,5200,92,2011
36,C,6500,108,2011
36,C,11500,35,2011
60,C,11500,143,2011
36,C,8000,97,2011
36,C,4000,8,2011
36,C,4000,66,2011
36,C,11000,93,2011
36,C,6800,89,2011
60,C,14000,24,2011
36,C,7000,129,2011
60,C,7000,8,2011
36,C,15000,164,2011
60,C,10000,65,2011
36,C,10000,48,2011
36,C,15000,225,2011
36,C,13000,88,2011
36,C,7000,83,2011
36,C,3500,70,2011
12,C,3000,36,2011
36,C,2000,2,2011
36,C,2500,59,2011
36,C,5000,85,2011
60,C,7000,56,2011
60,C,15000,246,2011
36,C,3000,34,2011
36,C,5000,61,2011
60,C,8000,108,2011
36,C,15000,40,2011
36,C,5000,31,2011
36,C,13000,225,2011
36,C,6400,23,2011
36,C,15000,356,2011
36,C,2000,21,2011
36,C,8000,137,2011
36,C,15000,75,2011
36,C,4000,36,2011
36,C,12300,13,2011
36,C,8950,117,2011
36,C,6300,94,2011
36,C,3000,52,2011
36,C,3000,32,2011
36,C,13500,92,2011
12,C,2000,22,2011
60,C,10000,212,2011
36,C,15000,109,2011
36,C,4100,6,2011
36,C,2000,33,2011
36,C,2000,35,2011
36,C,15000,39,2011
36,C,7000,118,2011
36,C,3000,64,2011
36,C,15000,81,2011
60,C,15000,202,2011
36,C,3500,27,2011
36,C,4000,36,2011
36,C,15000,252,2011
36,C,2000,26,2011
36,C,8000,139,2011
36,C,6500,102,2011
36,C,6540,36,2011
36,C,15000,70,2011
36,C,2000,23,2011
36,C,3500,78,2011
36,C,13000,137,2011
12,C,2900,50,2011
36,C,15000,16,2011
36,C,5000,37,2011
60,C,15000,98,2011
60,C,9000,129,2011
36,C,8000,139,2011
36,C,5500,92,2011
36,C,5000,17,2011
36,C,6500,109,2011
36,C,3500,46,2011
12,C,5000,103,2011
36,C,5000,95,2011
36,C,7000,151,2011
60,C,15000,235,2011
60,C,15000,274,2011
36,D,3800,48,2011
36,D,5000,13,2011
36,D,10000,21,2011
12,D,2000,9,2011
36,D,5000,40,2011
36,D,10000,13,2011
36,D,4000,56,2011
36,D,10000,4,2011
36,D,10000,12,2011
36,D,3000,45,2011
36,D,4600,6,2011
60,D,10000,134,2011
36,D,3000,21,2011
36,D,3700,79,2011
36,D,10000,11,2011
36,D,6000,98,2011
36,D,7000,18,2011
36,D,3000,50,2011
36,D,8000,9,2011
36,D,3000,3,2011
36,D,3500,54,2011
60,D,7000,14,2011
36,D,6500,90,2011
36,D,10000,51,2011
60,D,6500,42,2011
36,D,2500,27,2011
36,D,8000,136,2011
36,D,9000,17,2011
12,D,5000,51,2011
36,D,2500,12,2011
36,D,5000,54,2011
36,D,5000,6,2011
36,D,5000,3,2011
36,D,2500,35,2011
36,D,3500,9,2011
36,D,8500,112,2011
36,D,6000,97,2011
36,D,10000,52,2011
36,D,9500,144,2011
36,D,10000,5,2011
36,D,10000,24,2011
36,D,10000,186,2011
36,D,10000,166,2011
36,D,5000,55,2011
36,D,5000,44,2011
36,D,7500,8,2011
36,D,4000,44,2011
36,D,4000,73,2011
36,D,4000,45,2011
36,D,3000,37,2011
36,D,10000,39,2011
36,D,10000,174,2011
36,D,10000,47,2011
36,D,2500,28,2011
36,D,2400,32,2011
36,D,10000,2,2011
36,D,10000,146,2011
36,D,4000,8,2011
36,D,5000,5,2011
60,D,6000,54,2011
36,D,7000,68,2011
36,D,7500,11,2011
36,D,4000,90,2011
60,D,9500,54,2011
36,D,10000,75,2011
36,D,10000,57,2011
36,D,10000,97,2011
36,D,7000,112,2011
36,D,8000,7,2011
36,D,10000,130,2011
36,D,2000,29,2011
36,D,10000,218,2011
36,D,5000,7,2011
36,D,6000,28,2011
36,D,2000,24,2011
36,D,5000,87,2011
36,D,3000,6,2011
60,D,7000,2,2011
36,D,4000,13,2011
36,D,8000,133,2011
36,D,2000,24,2011
36,D,4500,77,2011
36,D,10000,15,2011
36,D,10000,148,2011
36,D,6800,112,2011
36,D,10000,6,2011
36,D,2000,37,2011
36,D,7000,8,2011
36,D,10000,37,2011
36,D,10000,220,2011
36,D,5000,7,2011
36,D,2000,21,2011
36,D,10000,156,2011
36,D,8000,73,2011
36,D,3500,4,2011
36,D,5000,51,2011
36,D,7000,73,2011
36,D,3000,33,2011
36,D,4000,10,2011
36,D,4000,2,2011
36,D,10000,6,2011
36,D,5000,13,2011
36,D,6500,11,2011
36,D,5000,97,2011
36,D,10000,44,2011
36,D,5000,31,2011
36,D,8000,7,2011
36,D,10000,45,2011
36,D,6500,110,2011
36,D,3000,36,2011
12,D,10000,130,2011
36,D,2500,60,2011
36,D,4500,51,2011
36,D,4500,79,2011
36,D,2000,44,2011
36,D,6000,13,2011
36,D,9300,104,2011
36,D,3000,51,2011
36,D,10000,17,2011
36,D,7000,54,2011
36,D,5500,86,2011
36,D,10000,31,2011
36,D,3000,41,2011
36,D,10000,3,2011
36,D,5000,46,2011
36,D,5000,46,2011
36,D,10000,7,2011
36,D,3000,53,2011
36,D,5000,60,2011
60,D,5000,6,2011
36,D,7000,6,2011
36,D,10000,66,2011
36,D,4500,14,2011
36,D,10000,14,2011
36,D,10000,33,2011
36,D,9200,142,2011
36,D,6000,5,2011
36,D,8000,35,2011
36,D,7500,125,2011
36,D,6000,2,2011
36,D,7800,132,2011
36,D,5500,6,2011
36,D,7000,73,2011
36,D,10000,80,2011
36,D,4500,24,2011
36,D,2000,18,2011
36,D,10000,50,2011
36,D,2000,33,2011
36,D,7000,85,2011
12,D,2000,21,2011
36,D,4500,50,2011
36,D,9000,9,2011
36,D,9500,25,2011
36,D,2000,44,2011
36,D,10000,61,2011
36,D,2500,35,2011
36,D,7000,4,2011
36,D,6000,24,2011
36,D,2000,37,2011
36,D,5500,30,2011
36,D,2000,36,2011
36,D,9000,12,2011
36,D,10000,17,2011
36,D,4000,16,2011
36,D,2900,62,2011
36,D,7000,70,2011
36,D,2500,39,2011
36,D,4000,53,2011
36,D,10000,129,2011
36,D,2000,5,2011
36,D,5000,84,2011
36,D,7500,30,2011
36,D,7827,152,2011
36,D,10000,30,2011
36,D,10000,72,2011
36,D,8500,87,2011
36,D,10000,6,2011
36,D,3000,28,2011
12,D,2500,14,2011
36,D,4500,20,2011
36,D,8000,4,2011
36,D,4500,9,2011
36,D,5000,104,2011
36,D,7500,28,2011
36,D,10000,4,2011
36,D,2000,9,2011
36,D,10000,173,2011
36,D,5000,31,2011
36,D,10000,163,2011
36,D,4500,67,2011
36,D,10000,44,2011
36,D,10000,150,2011
36,D,10000,10,2011
36,D,7000,38,2011
36,D,2000,9,2011
12,D,6000,12,2011
36,D,5000,55,2011
12,D,2300,24,2011
36,D,2000,34,2011
36,D,5500,90,2011
36,D,5000,84,2011
36,D,5000,118,2011
36,D,10000,11,2011
36,D,2000,27,2011
36,D,10000,7,2011
36,D,3000,30,2011
36,D,4000,3,2011
36,D,5600,20,2011
36,D,10000,116,2011
12,D,10000,213,2011
36,D,4000,50,2011
36,D,3600,29,2011
36,D,5000,55,2011
36,D,2500,34,2011
36,D,7000,123,2011
36,D,5000,80,2011
36,D,6000,94,2011
12,D,3000,18,2011
36,D,8000,15,2011
36,D,10000,31,2011
36,D,10000,5,2011
36,D,6000,34,2011
36,D,10000,51,2011
36,D,10000,136,2011
36,D,3000,65,2011
12,D,4000,8,2011
36,D,10000,9,2011
36,D,4000,45,2011
36,D,10000,60,2011
36,D,3000,39,2011
36,D,7000,24,2011
36,D,5000,6,2011
36,D,10000,3,2011
36,D,5500,10,2011
36,D,7000,109,2011
36,D,5500,132,2011
36,D,3000,41,2011
36,D,10000,7,2011
36,D,2000,32,2011
36,D,3900,51,2011
36,D,5500,68,2011
36,D,10000,71,2011
36,D,3000,14,2011
36,D,7500,8,2011
36,D,4000,45,2011
12,D,4000,37,2011
36,D,9500,195,2011
36,D,5000,27,2011
36,D,6000,7,2011
36,D,2500,43,2011
36,D,2000,3,2011
36,D,10000,169,2011
36,D,4000,67,2011
36,D,4000,17,2011
36,D,2000,8,2011
36,D,5000,9,2011
36,D,4000,34,2011
36,D,5000,5,2011
36,D,10000,46,2011
36,D,8500,52,2011
36,D,10000,182,2011
36,D,5000,69,2011
36,D,10000,61,2011
36,D,10000,5,2011
36,D,6500,89,2011
36,D,10000,6,2011
36,D,10000,18,2011
36,D,6000,43,2011
36,D,8000,132,2011
36,D,6500,72,2011
36,D,4000,24,2011
36,D,10000,5,2011
36,D,3000,58,2011
36,D,4151,84,2011
36,D,2000,45,2011
36,D,2000,21,2011
36,D,3000,15,2011
36,D,10000,1,2011
36,D,10000,149,2011
36,D,6500,2,2011
36,D,7000,72,2011
36,D,10000,220,2011
36,D,8000,192,2011
36,D,7000,12,2011
36,D,10000,189,2011
36,D,7000,6,2011
36,D,10000,6,2011
36,D,3000,62,2011
36,D,4000,51,2011
36,D,3500,48,2011
36,D,3000,43,2011
12,D,10000,4,2011
36,D,9500,59,2011
36,D,4500,84,2011
36,D,5000,75,2011
36,D,7000,61,2011
60,D,5500,4,2011
60,D,7500,17,2011
36,D,5000,43,2011
36,D,3000,35,2011
36,D,7000,5,2011
36,D,4500,82,2011
36,D,10000,20,2011
36,D,8000,170,2011
36,D,2500,47,2011
36,D,4000,87,2011
36,D,2500,22,2011
12,D,4000,3,2011
36,D,2100,25,2011
36,D,10000,44,2011
36,D,10000,114,2011
36,D,8500,23,2011
36,D,10000,130,2011
36,D,4500,53,2011
36,D,2000,45,2011
36,D,10000,142,2011
60,D,10000,1,2011
36,D,7000,95,2011
36,D,10000,27,2011
36,D,10000,49,2011
36,D,2000,49,2011
36,D,3000,5,2011
36,D,10000,146,2011
36,D,7000,108,2011
36,D,7000,39,2011
36,D,10000,27,2011
36,D,10000,35,2011
36,D,2000,39,2011
36,D,10000,29,2011
60,D,5500,18,2011
12,D,3000,38,2011
36,D,3000,1,2011
36,D,10000,34,2011
36,D,9500,4,2011
12,D,7000,83,2011
36,D,10000,8,2011
36,D,2000,12,2011
36,D,10000,218,2011
36,D,2500,21,2011
36,D,8000,67,2011
36,D,5000,6,2011
36,D,2000,27,2011
36,D,4000,94,2011
36,D,7500,22,2011
36,D,4000,10,2011
36,D,5000,13,2011
36,D,10000,158,2011
36,D,10000,1,2011
36,D,3000,25,2011
36,D,3000,43,2011
36,D,4000,36,2011
36,D,7000,114,2011
36,D,8500,122,2011
36,D,10000,9,2011
36,D,5000,52,2011
12,D,6000,60,2011
36,D,2500,46,2011
36,D,10000,59,2011
36,D,4000,3,2011
36,D,9500,60,2011
12,D,3000,71,2011
36,D,2000,26,2011
36,D,2500,17,2011
36,D,6000,46,2011
36,D,2500,19,2011
36,D,10000,32,2011
36,D,3200,14,2011
36,D,4500,63,2011
36,D,10000,198,2011
36,D,10000,10,2011
36,D,4000,1,2011
36,D,7500,77,2011
36,D,10000,14,2011
36,D,2000,38,2011
36,D,5400,72,2011
36,D,3500,66,2011
36,D,6000,15,2011
36,D,10000,145,2011
36,D,7000,110,2011
36,D,10000,145,2011
36,D,10000,176,2011
36,D,8237,167,2011
12,D,3000,49,2011
36,D,2500,24,2011
36,D,7000,84,2011
12,D,2000,3,2011
60,D,7000,4,2011
36,D,2000,34,2011
36,D,7000,25,2011
36,D,3500,49,2011
36,D,3500,72,2011
36,D,10000,32,2011
36,D,2100,4,2011
36,D,10000,48,2011
36,D,9500,153,2011
36,D,3000,13,2011
36,D,5500,22,2011
36,D,6000,42,2011
36,D,10000,11,2011
36,D,10000,146,2011
12,D,2000,21,2011
36,D,10000,175,2011
36,D,2000,21,2011
36,D,4000,36,2011
36,D,10000,5,2011
36,D,7500,140,2011
36,D,4500,13,2011
36,D,10000,5,2011
36,D,10000,15,2011
36,D,3000,30,2011
36,D,2500,17,2011
36,D,10000,111,2011
36,D,10000,181,2011
36,D,4000,67,2011
36,D,10000,4,2011
36,D,8000,28,2011
36,D,7000,110,2011
36,D,10000,149,2011
36,D,7000,76,2011
36,D,7500,13,2011
36,D,4000,23,2011
12,D,5500,51,2011
36,D,10000,4,2011
36,D,7000,25,2011
36,D,6000,81,2011
36,D,9500,7,2011
12,D,2000,14,2011
36,D,10000,11,2011
36,D,4500,17,2011
36,D,6991,99,2011
36,D,3000,56,2011
36,D,9500,24,2011
36,D,4000,14,2011
36,D,9500,213,2011
36,D,5000,104,2011
36,D,2000,15,2011
36,D,7000,98,2011
36,D,2000,19,2011
36,D,10000,108,2011
36,D,7000,14,2011
36,D,2500,8,2011
36,D,10000,16,2011
36,D,3000,34,2011
36,D,5000,27,2011
36,D,10000,117,2011
36,D,5000,74,2011
36,D,5500,62,2011
36,D,4000,31,2011
36,D,10000,85,2011
36,D,4000,5,2011
36,D,3500,51,2011
36,D,10000,46,2011
36,D,2500,23,2011
36,D,4000,81,2011
36,D,10000,5,2011
36,D,7483,159,2011
36,D,3500,47,2011
36,D,10000,12,2011
36,D,10000,26,2011
36,D,4500,87,2011
36,D,10000,69,2011
36,D,3000,34,2011
36,D,4500,39,2011
36,D,7500,105,2011
36,D,5000,21,2011
36,D,9000,158,2011
36,D,10000,35,2011
36,D,2000,34,2011
36,D,8500,112,2011
36,D,4000,28,2011
36,D,6000,42,2011
36,D,2000,20,2011
36,D,2500,48,2011
12,D,4000,11,2011
36,D,4000,40,2011
36,D,10000,71,2011
36,D,5000,1,2011
36,D,3000,6,2011
60,D,10000,11,2011
36,D,3000,13,2011
36,D,7000,99,2011
36,D,2500,26,2011
36,D,3000,49,2011
36,D,10000,91,2011
36,D,10000,13,2011
36,D,3250,48,2011
36,D,4000,22,2011
36,D,5000,4,2011
36,D,5500,108,2011
12,D,10000,18,2011
36,D,4000,24,2011
36,D,7500,96,2011
36,D,10000,9,2011
36,D,10000,119,2011
36,D,2000,16,2011
60,D,7000,44,2011
36,D,7500,92,2011
12,D,2000,34,2011
36,D,5000,64,2011
36,D,10000,205,2011
36,D,8000,195,2011
36,D,10000,140,2011
36,D,3500,34,2011
36,D,10000,139,2011
